// Compost colors for eternal_starlight. You may add your own colors, change existing ones, or remove colors that aren't needed.
abyssal_fruit, #f7ebab
aethersent_boots, #8657a1
aethersent_bottoms, #7a4d84
aethersent_cape, #895a9a
aethersent_hood, #70467f
aethersent_ingot, #b984d0
aethersent_nugget, #b282c2
aetherstrike_rocket, #ffcdff
air_sac_arrow, #a0868c
air_sac_boots, #5e5c50
alchemist_mask, #d38447
alchemist_robe, #7f5c46
amaramber_arrow, #664155
amaramber_axe, #332836
amaramber_candle, #5c4054
amaramber_chestplate, #403343
amaramber_helmet, #3a2d3c
amaramber_hoe, #392c39
amaramber_ingot, #4d3c4e
amaramber_lantern, #9a847c
amaramber_nugget, #322836
amaramber_shovel, #2f2532
amethysia_grass, #c99ac9
ashen_snowball, #c2c0cc
atalphaite, #de866b
aureate_flower, #e7cf75
aurora_deer_antler, #19a19d
aurora_deer_steak, #ff9a8a
blaze_crystal, #bc6870
blooming_armor_trim_smithing_template, #9d8dbc
blooming_blue_starlight_crystal_cluster, #abdaff
blooming_red_starlight_crystal_cluster, #e6aaf4
blossom_of_stars, #2f7cdd
blue_crystal_roots, #5482d3
blue_crystalfleur, #afbff2
blue_crystalfleur_vine, #aabfff
blue_starlight_crystal_cluster, #84c0f8
blue_starlight_crystal_shard, #83b4e6
bonemore, #ffffff
book, #969baf
bouldershroom, #fff2ff
bouldershroom_roots, #fffff8
bouldershroom_stew, #6c6269
bow_of_blood, #ffffff
broken_doomeden_bone, #ffffff
cave_moss, #646464
chain_of_souls, #464e76
conebloom, #403a50
cooked_aurora_deer_steak, #ea8470
cooked_luminaris, #736689
cooked_luminofish, #575152
cooked_ratlin_meat, #a44652
cooked_shadow_snail_meat, #3c2539
cooked_tower_squid, #843726
crescent_grass, #363762
creteor_hide, #d779ee
crystal_crossbow, #7986d0
crystallized_lunar_grass, #c861be
crystallum_coral, #7d979b
crystallum_coral_fan, #7c9197
dagger_of_hunger, #281c23
dead_crystallum_coral, #c2b4ae
dead_crystallum_coral_fan, #b1a29e
dead_golden_coral, #c2b5af
dead_golden_coral_fan, #b5a7a1
dead_lunar_bush, #5c4b73
dead_tentacles_coral, #aca09a
dead_tentacles_coral_fan, #aa9d98
desert_amethysia, #de84d0
doomed_redstone_torch, #5b3c36
doomed_torch, #66625a
doomeden_carrion, #ffffff
doomeden_rag, #fef8fb
doomeden_rapier, #ffffff
dusted_shard, #835886
energy_sword, #7987a0
ether_bucket, #bce0c9
eye_of_doom, #e3a78a
fantabud, #362d4d
fantafern, #513c64
fantagrass, #3a2f4d
flare_brick, #734e64
flesh_grinder, #fffefe
forge_armor_trim_smithing_template, #222a39
frozen_bomb, #afd0ff
frozen_tube, #8ac5e3
glacite_axe, #d6ddfa
glacite_boots, #96b1ed
glacite_chestplate, #b5d9ff
glacite_helmet, #8ea8e3
glacite_hoe, #7f8ec8
glacite_leggings, #8da5e3
glacite_pickaxe, #8294c0
glacite_scythe, #f7fbff
glacite_shard, #ffffff
glacite_shovel, #b9ccf1
glacite_sword, #aec9fe
gladespike, #a89154
gleech_egg, #97b8d2
glimmerfly_bush, #c54bb8
glowing_crescent_grass, #4e527c
glowing_lunar_bush, #434175
glowing_lunar_grass, #5e698e
glowing_mushroom, #877c8a
glowing_night_sprouts, #f8ffff
glowing_parasol_grass, #4a507a
golden_coral, #938476
golden_coral_fan, #9a8a78
golden_grass, #eb9122
golem_steel_bars, #61709b
golem_steel_ingot, #b9c6da
green_fantabud, #434846
green_fantafern, #504d52
green_fantagrass, #444748
hanging_fantagrass, #3a343d
icicle, #ffffff
jingling_pickle, #aa8db4
keeper_armor_trim_smithing_template, #a89bbb
light_crystal, #8d97b6
living_arm, #ffffff
loot_bag, #57617d
luminaris, #685e75
luminaris_bucket, #979aaf
luminofish, #585852
luminofish_bucket, #a0a4b2
lunar_berries, #c9e7ff
lunar_boat, #3d3739
lunar_bush, #3a376c
lunar_chest_boat, #584836
lunar_crystal, #899e9d
lunar_door, #2a2d3a
lunar_grass, #393c68
lunar_hanging_sign, #4d4652
lunar_reed, #7686ab
lunar_sapling, #526e8e
lunar_sign, #514457
lunar_vine, #554b97
lunaris_cactus_fruit, #b697c5
lunaris_cactus_gel, #f0ccf8
mana_crystal, #a279cf
mana_crystal_shard, #ca9ded
mauve_fern, #bf93c3
mechanical_crossbow, #39517a
moonlight_duckweed, #cfcfcf
moonlight_lily_pad, #b6b6b6
moonring_bow, #5a6296
moonring_greatsword, #786491
music_disc_atlantis, #765f7d
music_disc_brisk, #6f5a69
music_disc_dusk_o_ereyesterday, #946284
music_disc_nest, #866ba1
music_disc_posterity, #8d5f91
music_disc_profundity, #805187
music_disc_sacred_desert, #7c5c6e
music_disc_spirit, #7a6873
music_disc_the_thorny_reign, #93648a
music_disc_tranquility, #7d5e8d
music_disc_whisper_of_the_stars, #8e6194
night_sprouts, #555e9a
nightfall_spider_eye, #787ccc
nightfan, #9762a7
nightfan_bush, #ea8cd9
northland_boat, #725c57
northland_chest_boat, #7d624b
northland_door, #7f6f7d
northland_hanging_sign, #6f5f62
northland_sapling, #b8caff
northland_sign, #756268
orange_scarlet_bud, #f48c9e
orb_of_prophecy, #64b5f1
oxidized_golem_steel_bars, #4b4a4e
oxidized_golem_steel_ingot, #cdcccd
parasol_grass, #393c68
petal_scythe, #575a90
pink_rose, #87467a
pink_rose_bush, #86416b
purple_scarlet_bud, #965ba8
rage_of_stars, #ffffff
ratlin_meat, #d28dae
raw_aethersent, #b886ca
raw_amaramber, #6e475b
red_crystal_roots, #c04eb1
red_crystalfleur, #d7abf4
red_crystalfleur_vine, #cd9ae7
red_scarlet_bud, #be6eaa
red_starlight_crystal_cluster, #cf7fe1
red_starlight_crystal_shard, #b680d6
red_velvetumoss_flower, #c22669
red_velvetumoss_villi, #ab3e5f
rotten_ham, #936e4e
