// Compost colors for extendedae. You may add your own colors, change existing ones, or remove colors that aren't needed.
concurrent_processor, #789ba2
concurrent_processor_press, #d9d9ed
concurrent_processor_print, #62e3dc
drive_upgrade, #f8f7ff
entro_cluster, #bcfff2
entro_cluster_large, #ffffff
entro_cluster_medium, #ffffff
entro_cluster_small, #ffffff
entro_crystal, #c0fffc
entro_dust, #cdffff
entro_ingot, #daffff
entro_seed, #ffffff
entro_shard, #91edd3
infinity_cobblestone_cell, #bbb8bb
infinity_water_cell, #a7b2cc
interface_upgrade, #ffffff
io_bus_upgrade, #ffffff
package, #fffbe4
pattern_modifier, #d2edf2
pattern_provider_upgrade, #ffffe0
pattern_terminal_upgrade, #ffeeff
void_cell, #9066a4
wireless_ex_pat, #ffffff
wireless_tool, #f8ffff
