// Compost colors for modern_industrialization. You may add your own colors, change existing ones, or remove colors that aren't needed.
acetylene_bucket, #a49b91
acrylic_acid_bucket, #96bcb4
acrylic_glue_bucket, #96bca1
advanced_motor, #b98d7d
advanced_pump, #d79b79
advanced_upgrade, #b2afbb
air_intake, #9797b8
aluminum_blade, #73fcff
aluminum_bolt, #4ae6ff
aluminum_curved_plate, #aaffff
aluminum_double_ingot, #69f1ff
aluminum_drill, #64cffc
aluminum_drill_head, #39d6ff
aluminum_dust, #e6ffff
aluminum_gear, #57ebff
aluminum_ingot, #80fbff
aluminum_large_plate, #44e1ff
aluminum_nugget, #ffffff
aluminum_plate, #d0ffff
aluminum_ring, #feffff
aluminum_rod, #ffffff
aluminum_rotor, #feffff
aluminum_tiny_dust, #faffff
aluminum_wire, #40ddff
analog_circuit, #9d5e40
analog_circuit_board, #a8614a
and_gate, #78a273
annealed_copper_double_ingot, #f19057
annealed_copper_dust, #f7965c
annealed_copper_hot_ingot, #ffcf87
annealed_copper_ingot, #ff9b61
annealed_copper_nugget, #f2965e
annealed_copper_plate, #fe985c
annealed_copper_tiny_dust, #e8874e
annealed_copper_wire, #6c3e23
antimony_dust, #d7d7ea
antimony_ingot, #dedef0
antimony_nugget, #d4d4e6
antimony_tiny_dust, #c9c9da
argon_bucket, #bc9bb1
arithmetic_logic_unit, #8cc8bb
basic_upgrade, #b6c2cf
battery_alloy_curved_plate, #ae8ab2
battery_alloy_double_ingot, #917396
battery_alloy_dust, #c39ac8
battery_alloy_ingot, #9a7a9e
battery_alloy_nugget, #d3a7d7
battery_alloy_plate, #bc96c0
battery_alloy_tiny_dust, #caa0cf
bauxite_crushed_dust, #ff8200
bauxite_dust, #fb7c00
bauxite_tiny_dust, #ff8000
benzene_bucket, #bfb9a8
beryllium_double_ingot, #66ae66
beryllium_dust, #6eb46e
beryllium_ingot, #70b970
beryllium_nugget, #6eb26e
beryllium_plate, #6fb96f
beryllium_tiny_dust, #5ea55e
biodiesel_bucket, #a2b297
blastproof_alloy_curved_plate, #5b5440
blastproof_alloy_ingot, #514a39
blastproof_alloy_large_plate, #474332
blastproof_alloy_plate, #625b44
boosted_diesel_bucket, #c2af93
brick_dust, #f87854
brick_tiny_dust, #ff7c57
bronze_blade, #ffd033
bronze_bolt, #f2b12d
bronze_curved_plate, #ffe17d
bronze_double_ingot, #f4b528
bronze_drill, #cc9d46
bronze_drill_head, #d08e11
bronze_dust, #ffbb2a
bronze_gear, #f8b429
bronze_ingot, #fcc534
bronze_nugget, #ffb92c
bronze_plate, #ffc228
bronze_ring, #ffbf22
bronze_rod, #fbb82f
bronze_rotor, #ffffcc
bronze_tiny_dust, #eeaa19
butadiene_bucket, #b9b596
cadmium_battery, #b9a59e
cadmium_control_rod, #2d220a
cadmium_double_ingot, #8c6920
cadmium_dust, #bc8e2c
cadmium_ingot, #947022
cadmium_plate, #b5892a
cadmium_rod, #c5962d
cadmium_tiny_dust, #c2932d
capacitor, #fff158
caprolactam_bucket, #a8a1a0
carbon_dust, #545454
carbon_large_plate, #3c3c3c
carbon_plate, #515151
carbon_tiny_dust, #575757
chlorine_bucket, #b4b694
chromium_crushed_dust, #ffffff
chromium_double_ingot, #ffdded
chromium_dust, #ffe1f2
chromium_hot_ingot, #ffffff
chromium_hydrochloric_solution_bucket, #c2b5a7
chromium_ingot, #ffedfb
chromium_nugget, #ffddf0
chromium_plate, #ffe7f8
chromium_tiny_dust, #ffd3e6
coal_crushed_dust, #484d55
coal_dust, #464a54
coal_tiny_dust, #484d57
coke, #3a3a34
coke_dust, #acab9b
config_card, #7f7d84
conveyor, #555258
cooling_cell, #89b6d4
copper_blade, #fe7c4e
copper_bolt, #f1754d
copper_curved_plate, #ffb696
copper_double_ingot, #f87c52
copper_drill, #d78669
copper_drill_head, #e16c44
copper_dust, #ffdabf
copper_fine_wire, #c57257
copper_gear, #f17246
copper_nugget, #fffbe4
copper_plate, #ffc09e
copper_ring, #ffedd4
copper_rod, #ffeed3
copper_rotor, #ffead0
copper_tiny_dust, #ffe4c9
copper_wire, #ea724a
creosote_bucket, #a4a4a0
crude_oil_bucket, #9d9b9b
cryofluid_bucket, #9db6be
cupronickel_double_ingot, #d68661
cupronickel_dust, #ffcfb2
cupronickel_ingot, #e48d68
cupronickel_nugget, #ffe7cd
cupronickel_plate, #ffbe9d
cupronickel_tiny_dust, #ffd7bb
cupronickel_wire, #b97a57
cupronickel_wire_magnetic, #ac696e
deuterium_bucket, #ae96b8
diamond_crushed_dust, #f2ffff
diamond_dust, #64ffff
diamond_hammer, #afe3bb
diamond_large_plate, #3dfff5
diamond_plate, #62ffff
diamond_tiny_dust, #50fffb
diesel_bucket, #beb59a
diesel_chainsaw, #e1de9d
