// Compost colors for stevescarts. You may add your own colors, change existing ones, or remove colors that aren't needed.
blockadvdetector, #9d948d
blockjunction, #b18369
component_advanced_pcb, #1c581c
component_advanced_solar_panel, #2670b6
component_basket, #fff8e0
component_birch_log, #ffffff
component_birch_twig, #ffffff
component_blade_arm, #d2d0d0
component_blank_upgrade, #aaa8a7
component_blue_pigment, #34398e
component_burning_easter_egg, #fffabf
component_chest_lock, #a8a8a8
component_chest_pane, #c8a262
component_chocolate_easter_egg, #fce6cc
component_cleaning_core, #b59157
component_cleaning_fan, #878686
component_cleaning_tube, #ffa134
component_dynamic_pane, #ffeded
component_dynamite, #c32304
component_empty_disk, #828282
component_enhanced_galgadorian_metal, #a77da5
component_entity_analyzer, #8e9791
component_entity_scanner, #c8bcbc
component_explosive_easter_egg, #c9ffe3
component_eye_of_galgador, #b87c3a
component_fuse, #dddddd
component_galgadorian_metal, #b193a1
component_galgadorian_saw_blade, #ffffff
component_galgadorian_wheels, #4e292c
component_glass_o_magic, #ffffe3
component_glistering_easter_egg, #ffffff
component_graphical_interface, #8e9389
component_green_pigment, #36893d
component_green_wrapping_paper, #257f15
component_hardened_mesh, #555e73
component_hardened_saw_blade, #ffffff
component_huge_chest_pane, #c5a061
component_huge_dynamic_pane, #ffffff
component_huge_iron_pane, #ffffff
component_huge_sctank_pane, #ffffff
component_iron_blade, #ffffff
component_iron_pane, #ffffff
component_iron_wheels, #f7f7f7
component_jungle_log, #fef1d4
component_jungle_twig, #aabf87
component_large_chest_pane, #c6a062
component_large_dynamic_pane, #fff8f8
component_large_iron_pane, #ffffff
component_large_lump_of_galgador, #ac90a5
component_large_sctank_pane, #ffffff
component_liquid_cleaning_core, #ffffff
component_liquid_cleaning_tube, #ffffff
component_lump_of_galgador, #9d7a91
component_oak_log, #faedd9
component_oak_twig, #c3c998
component_painted_easter_egg, #fffffc
component_pipe, #dddcdc
component_raw_handle, #262323
component_raw_hardener, #115a61
component_red_gift_ribbon, #8e3c3c
component_red_pigment, #913637
component_red_wrapping_paper, #7f1616
component_refined_handle, #110c0c
component_refined_hardener, #69b2bb
component_reinforced_metal, #82abca
component_reinforced_wheels, #82b4cf
component_saw_blade, #26af97
component_sctank_pane, #ffffff
component_sctank_valve, #ffffff
component_shooting_station, #94b484
component_simple_pcb, #194319
component_sock, #915758
component_solar_panel_component, #307dd9
component_speed_handle, #18183c
component_spruce_log, #e3d6ca
component_spruce_twig, #d3cfbe
component_stabilized_metal, #8db4d2
component_stolen_present, #9dc223
component_stuffed_sock, #83574b
component_tri_torch, #b99752
component_warm_hat, #f0908c
component_wheel, #72655b
component_wood_cutting_core, #689448
component_wooden_wheels, #a18752
component_yellow_gift_ribbon, #c2ab34
module_advanced_control_system, #666465
module_advanced_crafter, #847280
