// Compost colors for sushigocrafting. You may add your own colors, change existing ones, or remove colors that aren't needed.
avocado, #c5d798
avocado_maki, #ffffff
avocado_sapling, #a2b57a
avocado_slices, #ffffea
cheese, #ffffff
chicken_temaki, #d9d6a2
cleaver_knife, #fffefb
cooked_rice, #ffffff
crab_california, #ffffff
crab_cheese_california, #ffffff
crab_cucumber_california, #ffffff
crab_maki, #ffffff
cucumber, #ffffe3
cucumber_maki, #ffffff
cucumber_seeds, #ffffe4
cucumber_slices, #ffffd2
imitation_crab, #fffaf5
nori_sheets, #a5ab9a
onigiri, #ffffff
raw_tuna, #fafff8
rice, #ffffeb
rice_seeds, #ffffff
salmon_california, #ffffff
salmon_cheese_california, #ffffff
salmon_cucumber_california, #ffffff
salmon_fillet, #fff1dc
salmon_gunkan, #f5ddb8
salmon_maki, #ffffff
salmon_nigiri, #ffffff
salmon_temaki, #d9d3ac
seaweed_on_a_stick, #d2cdb5
sesame_seed, #fffae4
sesame_seeds, #ffffff
shrimp, #ffd7d4
shrimp_bucket, #f4d9e4
shrimp_nigiri, #ffffff
shrimp_temaki, #dad0b6
soy_bean, #ffffff
soy_sauce, #ffffff
soy_seeds, #ffffff
tobiko, #ffffff
tobiko_crab_california, #ffedd9
tobiko_crab_cheese_california, #ffeedc
tobiko_crab_cucumber_california, #ffebd7
tobiko_salmon_california, #ffedd7
tobiko_salmon_cheese_california, #ffedda
tobiko_salmon_cucumber_california, #ffedd7
tobiko_tuna_california, #ffead7
tobiko_tuna_cheese_california, #ffead9
tobiko_tuna_cucumber_california, #ffebd7
tuna_bucket, #eaf0fb
tuna_california, #ffffff
tuna_cheese_california, #ffffff
tuna_cucumber_california, #ffffff
tuna_fillet, #ffc5cc
tuna_gunkan, #e7d0b9
tuna_maki, #ffffff
tuna_nigiri, #ffffff
tuna_temaki, #cfcdac
wakame_gunkan, #cddea5
wasabi_paste, #ffffff
wasabi_root, #f8ffd6
wasabi_seeds, #ffffe8
